Filename	TierName	Annotation	Duration_msec	Onset_sec	Offset_sec
NEWCARD_01alter	Trial	T184	3140.0	2666.720	2669.860
NEWCARD_01alter	Trial	T185	3280.0	2669.980	2673.260
NEWCARD_01alter	Trial	T186	3700.0	2681.540	2685.240
NEWCARD_01alter	Trial	T187	9680.0	2688.340	2698.020
NEWCARD_01alter	Trial	T188	6340.0	2704.100	2710.440
NEWCARD_01alter	Trial	T189	2420.0	2711.220	2713.640
NEWCARD_01alter	Trial	T190	4600.0	2714.360	2718.960
NEWCARD_01alter	Trial	T191	3340.0	2731.160	2734.500
NEWCARD_01alter	Trial	T192	9140.0	2740.340	2749.480
NEWCARD_01alter	Trial	T193	2480.0	2752.860	2755.340
NEWCARD_01alter	Trial	T194	3900.0	2765.100	2769.000
NEWCARD_01alter	Trial	T195	3780.0	2770.300	2774.080
NEWCARD_01alter	Trial	T196	9100.0	2803.080	2812.180
NEWCARD_01alter	Trial	T197	11420.0	2813.000	2824.420
NEWCARD_01alter	Trial	T198	4420.0	2831.420	2835.840
NEWCARD_01alter	Trial	T199	17220.0	2843.080	2860.300
NEWCARD_01alter	Trial	T200	5380.0	2863.820	2869.200
NEWCARD_01alter	Trial	T201	12060.0	2911.900	2923.960
NEWCARD_01alter	Trial	T202	9580.0	2925.740	2935.320
NEWCARD_01alter	Trial	T203	4080.0	2938.440	2942.520
NEWCARD_01alter	Trial	T204	7240.0	2949.320	2956.560
NEWCARD_01alter	Trial	T205	8040.0	2957.900	2965.940
NEWCARD_01alter	Trial	T206	5400.0	2966.280	2971.680
NEWCARD_01alter	Trial	T207	2320.0	2971.700	2974.020
NEWCARD_01alter	Trial	T208	6520.0	2974.040	2980.560
NEWCARD_01alter	Trial	T209	2480.0	2998.740	3001.220
NEWCARD_01alter	LeftIndividualSpeech	q_no	900.0	76.200	77.100
NEWCARD_01alter	LeftIndividualSpeech	r_num_type	1600.0	77.200	78.800
NEWCARD_01alter	LeftIndividualSpeech	q_no	400.0	89.760	90.160
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	1580.0	90.340	91.920
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	3920.0	94.000	97.920
NEWCARD_01alter	LeftIndividualSpeech	r_num_type	1960.0	106.660	108.620
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	3360.0	134.240	137.600
NEWCARD_01alter	LeftIndividualSpeech	r_num_suit	1860.0	144.940	146.800
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	1880.0	146.880	148.760
NEWCARD_01alter	LeftIndividualSpeech	spec?	3880.0	235.040	238.920
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1800.0	264.160	265.960
NEWCARD_01alter	LeftIndividualSpeech	spec?	2320.0	267.980	270.300
NEWCARD_01alter	LeftIndividualSpeech	spec?	2140.0	274.480	276.620
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1600.0	288.460	290.060
NEWCARD_01alter	LeftIndividualSpeech	any_suit?	3020.0	295.560	298.580
NEWCARD_01alter	LeftIndividualSpeech	spec?	1840.0	302.840	304.680
NEWCARD_01alter	LeftIndividualSpeech	spec?	1500.0	306.640	308.140
NEWCARD_01alter	LeftIndividualSpeech	any_type?	2867.0	335.499	338.366
NEWCARD_01alter	LeftIndividualSpeech	no_suit?	2520.0	344.060	346.580
NEWCARD_01alter	LeftIndividualSpeech	q_no	920.0	471.000	471.920
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	3080.0	472.430	475.510
NEWCARD_01alter	LeftIndividualSpeech	q_yes	760.0	480.900	481.660
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	3600.0	481.720	485.320
NEWCARD_01alter	LeftIndividualSpeech	q_no	1920.0	502.840	504.760
NEWCARD_01alter	LeftIndividualSpeech	r_num_suit	1240.0	516.620	517.860
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	4840.0	518.020	522.860
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	2460.0	536.880	539.340
NEWCARD_01alter	LeftIndividualSpeech	spec_2?	8480.0	600.880	609.360
NEWCARD_01alter	LeftIndividualSpeech	any_type?	5067.0	619.032	624.099
NEWCARD_01alter	LeftIndividualSpeech	how_many_type?	2234.0	626.865	629.099
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	3033.0	633.865	636.898
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1660.0	651.480	653.140
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1420.0	655.100	656.520
NEWCARD_01alter	LeftIndividualSpeech	no_type?	3380.0	667.680	671.060
NEWCARD_01alter	LeftIndividualSpeech	no_type?	1240.0	672.320	673.560
NEWCARD_01alter	LeftIndividualSpeech	any_suit?	3780.0	680.620	684.400
NEWCARD_01alter	LeftIndividualSpeech	number_type?	1900.0	688.040	689.940
NEWCARD_01alter	LeftIndividualSpeech	number_type?	1100.0	691.460	692.560
NEWCARD_01alter	LeftIndividualSpeech	q_yes	2060.0	741.240	743.300
NEWCARD_01alter	LeftIndividualSpeech	q_yes	580.0	754.020	754.600
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	2640.0	754.620	757.260
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	4540.0	777.330	781.870
NEWCARD_01alter	LeftIndividualSpeech	spec?	4020.0	837.680	841.700
NEWCARD_01alter	LeftIndividualSpeech	any_type?	800.0	843.298	844.098
NEWCARD_01alter	LeftIndividualSpeech	any_type?	3040.0	874.620	877.660
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	820.0	879.440	880.260
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1933.0	886.132	888.065
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	2933.0	891.766	894.699
NEWCARD_01alter	LeftIndividualSpeech	any_suit?	2880.0	919.320	922.200
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1520.0	927.980	929.500
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1300.0	931.465	932.765
NEWCARD_01alter	LeftIndividualSpeech	any_type?	5067.0	940.799	945.866
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	1960.0	1031.020	1032.980
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	2640.0	1045.160	1047.800
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	3240.0	1067.260	1070.500
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	1140.0	1076.590	1077.730
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	2480.0	1083.180	1085.660
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1533.0	1138.732	1140.265
NEWCARD_01alter	LeftIndividualSpeech	spec?	2100.0	1150.866	1152.966
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1667.0	1160.465	1162.132
NEWCARD_01alter	LeftIndividualSpeech	spec?	3900.0	1174.832	1178.732
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1167.0	1179.999	1181.166
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1600.0	1182.366	1183.966
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1567.0	1186.099	1187.666
NEWCARD_01alter	LeftIndividualSpeech	any_type?	2720.0	1217.020	1219.740
NEWCARD_01alter	LeftIndividualSpeech	number_type_declarative	2240.0	1222.820	1225.060
NEWCARD_01alter	LeftIndividualSpeech	no_spec?	1000.0	1233.520	1234.520
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1480.0	1235.940	1237.420
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1180.0	1247.440	1248.620
NEWCARD_01alter	LeftIndividualSpeech	number_type?	2240.0	1256.880	1259.120
NEWCARD_01alter	LeftIndividualSpeech	what_type?	3010.0	1275.860	1278.870
NEWCARD_01alter	LeftIndividualSpeech	q_yes	2720.0	1348.240	1350.960
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	1440.0	1358.320	1359.760
NEWCARD_01alter	LeftIndividualSpeech	q_no	1740.0	1378.760	1380.500
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	2020.0	1387.760	1389.780
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	3000.0	1394.300	1397.300
NEWCARD_01alter	LeftIndividualSpeech	spec?	9820.0	1464.220	1474.040
NEWCARD_01alter	LeftIndividualSpeech	any_type?	980.0	1484.460	1485.440
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	920.0	1488.320	1489.240
NEWCARD_01alter	LeftIndividualSpeech	any_type?	3420.0	1497.560	1500.980
NEWCARD_01alter	LeftIndividualSpeech	what_type?	980.0	1503.940	1504.920
